news_source,news_link,bias_rating,community_feedback
Austin Daily Herald,https://www.austindailyherald.com/,Center,55/56
Avanti Giridharan,https://muckrack.com/avanti-giridharan,Center,136/142
Avenue News,https://www.avenuenews.com/,Center,40/45
Avoyelles Journal,https://www.avoyellestoday.com/,Center,42/33
Axios,https://www.axios.com/,Lean Left,8549/9522
AZ Central,https://www.azcentral.com/,Center,392/692
Babylon Bee (Humor),https://babylonbee.com/,Lean Right,1004/454
Ballotpedia,http://ballotpedia.org/,Center,879/609
Baltimore Sun,https://www.baltimoresun.com/,Center,283/391
Bangor Daily News,https://www.bangordailynews.com/,Lean Left,93/97
Baptist News Global,https://baptistnews.com/,Lean Left,66/88
Baptist Press,https://www.baptistpress.com/,Center,60/64
Baptist Standard,https://www.baptiststandard.com/,Center,40/53
Bari Weiss,,Center,308/228
Barnstable Patriot,http://www.barnstablepatriot.com/,Center,682/785
Barron's,https://www.barrons.com/,Center,98/85
Bartlesville Examiner-Enterprise,https://www.examiner-enterprise.com/,Center,34/40
Bay to Bay News,https://baytobaynews.com/,Center,32/33
BBC News,http://www.bbc.com/,Center,34930/30446
Bearing Drift,http://www.bearingdrift.com,Right,793/716
Beaumont Enterprise,https://www.beaumontenterprise.com/,Center,61/79
Beaver County Times,https://www.timesonline.com/,Center,36/33
Bella Jasper,,Lean Left,127/118
Belleville News-Democrat,https://www.bnd.com/,Center,40/41
Ben Sargent (cartoonist),,Left,379/323
Ben Shapiro,https://twitter.com/benshapiro,Right,3560/1502
Ben Stein,,Lean Right,905/635
Bergen Record (northjersey.com),https://www.northjersey.com/,Lean Left,47/54
Bernie Goldberg,https://en.wikipedia.org/wiki/Bernard_Goldberg,Lean Right,147/114
BET,https://www.bet.com/,Lean Left,399/597
Beth Ballentine,,Center,472/566
Beth Hicks,,Right,107/103
Better Government Association,,Center,109/156
Beyond Today,https://www.ucg.org/beyond-today,Right,47/59
Biblical Gender Roles,,Right,303/144
Biblical Sexology,,Right,229/132
Big Island Now News,https://bigislandnow.com/,Center,17/17
Bill de Blasio,,Lean Left,53/127
Billings Gazette,https://billingsgazette.com/,Center,48/46
Billings Gazette,https://billingsgazette.com/,Center,27/32
Billy Binion,,Center,390/321
Bing News,https://www.bing.com/news,Lean Left,52/64
Bipartisan Policy Center,https://bipartisanpolicy.org/,Center,35/38
Bizpac Review,https://www.bizpacreview.com/,Right,233/164
Black Agenda Report,https://blackagendareport.com/,Left,86/67
Black Community News,https://blackcommunitynews.com/,Right,42/49
Black Enterprise,https://www.blackenterprise.com/,Lean Left,172/276
Black News,https://blacknews.com/,Left,67/41
Black News Channel,https://bnc.tv/,Lean Left,45/51
Blavity,https://blavity.com/,Left,63/41
Block Club Chicago,https://blockclubchicago.org/,Left,200/134
Bloomberg,http://www.bloomberg.com/,Lean Left,18258/23427
Blue Virginia,http://www.bluevirginia.us,Left,950/677
Bluefield Daily Telegraph,https://www.bdtonline.com/,Center,35/42
Bluffton Icon,https://www.blufftonicon.com/,Center,28/24
Bob Barr,,Right,109/120
Bob Gorrell (cartoonist),,Right,417/291
Boing Boing,http://boingboing.net/,Left,1106/736
Boise dev,https://boisedev.com/,Center,26/24
Boise State Public Radio,https://www.boisestatepublicradio.org/,Center,22/30
Bolts,https://boltsmag.org/,Left,38/30
Bonner County Daily Bee,https://bonnercountydailybee.com/,Center,32/26
Bonnie Kristian,,Center,102/101
Border Report,https://www.borderreport.com/,Center,35/35
Boston 25 News,https://www.boston25news.com/,Center,31/28
Boston Herald,https://www.bostonherald.com/,Lean Right,819/637
Boston Review,https://www.bostonreview.net/,Lean Left,156/152
Boston.com,https://www.boston.com/,Center,26/29
Bowling Green Daily News,http://www.bgdailynews.com/,Lean Left,735/764
Box Elder News Journal,https://www.benewsjournal.com/,Center,31/31
Bozeman Daily Chronicle,https://www.bozemandailychronicle.com/,Center,31/37
Brad Parscale,,Right,165/81
Brad Polumbo,https://www.washingtonexaminer.com/author/brad-polumbo,Lean Right,49/40
Brad Raffensperger,,Lean Right,104/92
Brandon Rennels,,Lean Left,94/97
Braver Angels,https://braverangels.org/,Mixed,79/82
Braver Angels,https://braverangels.org/,Mixed,238/209
Breitbart News,http://www.breitbart.com/,Right,44413/12151
Brennan Center for Justice,,Lean Left,114/85
Brent Bozell,http://www.mrc.org/bozells-column,Right,410/364
Bret Stephens,,Lean Right,451/498
Brett Loyd,https://www.thebullfinchgroup.com/,Center,12/7
Briahna Joy Gray,https://twitter.com/briebriejoy,Left,10/7
Bridge Alliance,https://www.bridgealliance.us/,Lean Left,95/99
Bridgemi.com,https://www.bridgemi.com/,Center,255/221
BridgeUSA,https://www.bridgeusa.org/,Mixed,41/44
Bridging Divides Initiative,https://bridgingdivides.princeton.edu/,Center,27/27
Brookings Institution,https://www.brookings.edu/,Center,3114/2350
Brown Girl Magazine,,Left,232/131
Brownstone Institute,https://brownstone.org/,Right,161/159
Bruce Golding,,Lean Right,42/34
Bruce Yandle,,Center,79/84
Brush News-Tribune,https://www.brushnewstribune.com/,Center,31/34
Burlington County Times,https://www.burlingtoncountytimes.com/,Center,29/28
Burlington Free Press,https://www.burlingtonfreepress.com/,Center,30/34
Bustle,http://www.bustle.com/,Lean Left,970/952
Butler Radio,https://butlerradio.com/,Center,27/30
BuzzFeed News,http://buzzfeednews.com,Left,28793/9983
Byron Donalds,,Lean Right,98/83
Byron Donalds,,Lean Right,56/71
Byron York,,Right,62/62
C-SPAN,http://www.c-span.org/,Center,4603/1549
Cal Thomas,,Right,100/64
Caleb Paxton,https://www.liberatusdc.org/home/,Lean Right,26/30
California 18,https://california18.com/,Center,17/23
California Examiner,https://californiaexaminer.net/,Center,29/25
California Globe,https://californiaglobe.com/,Center,20/28
CalMatters,http://calmatters.org/,Center,982/906
CalWatchdog,http://www.calwatchdog.com/,Center,667/700
Cambria Findley-Grubb,https://www.civichealthproject.org/team/cambria-findley-grubb/,Left,25/22
Candace Owens,https://candaceowens.com/,Right,97/47
Cape Cod Times,https://www.capecodtimes.com/,Center,27/17
Cape Gazette,https://www.capegazette.com/,Center,24/23
Capecod.com,https://www.capecod.com/,Center,19/22
Capital & Main,https://capitalandmain.com/,Lean Left,37/28
Capital Research Center,https://capitalresearch.org/,Lean Right,178/143
Capitol Beat,https://capitol-beat.org/,Center,18/19
Capitol Weekly,https://capitolweekly.net/,Center,29/18
Cardinal News,https://cardinalnews.org/,Center,21/17
Care2,http://www.care2.com,Left,735/750
Carlsbad Current-Argus,https://www.currentargus.com/,Center,28/23
Carnegie Endowment for International Peace,http://carnegieendowment.org,Center,597/548
Carriage Towne News,http://www.carriagetownenews.com/,Center,64/72
Carrie Lukas,,Right,328/253
Carrie Severino,,Lean Right,45/41
Carsen Brunn,https://www.linkedin.com/in/carsen-brunn-15890324a/,Center,28/29
Casper Star-Tribune,https://trib.com/,Center,31/27
Catholic Digest,https://www.catholicdigest.com/,Lean Right,29/84
Catholic News Agency,https://www.catholicnewsagency.com/,Right,64/86
Catholic News Service,https://catholicnews.com/,Center,60/54
Cathy Young,https://twitter.com/CathyYoung63,Lean Right,142/166
Cato Institute,http://www.cato.org,Lean Right,1456/1933
CBC News,https://www.cbc.ca/,Lean Left,647/595
CBN,http://www1.cbn.com,Right,7357/3742
CBS 17,https://www.cbs17.com/,Center,25/29
CBS 4 KDBC,https://cbs4local.com/,Center,22/17
CBS 58,https://cbs58.com/,Center,29/24
CBS 7 Midland,https://www.cbs7.com/,Center,20/26
CBS Austin KEYE,https://cbsaustin.com/,Center,22/29
CBS News (Online),http://www.cbsnews.com/,Lean Left,21539/13917
Cecil Whig,https://www.cecildaily.com/,Center,23/21
Center For American Progress,http://www.americanprogress.org,Lean Left,1451/1926
Center for Countering Digital Hate,https://counterhate.com/,Left,80/50
Center for Humane Technology,https://www.humanetech.com/,Center,52/46
Center for Media & Democracy PR Watch,http://www.prwatch.org,Lean Left,350/441
Center for Public Integrity,http://www.publicintegrity.org/,Lean Left,847/1005
Center for Strategic and Budgetary Assessments,,Lean Right,443/530
Center on Budget and Policy Priorities,http://www.cbpp.org,Left,930/786
Center Post Dispatch,https://centerpostdispatch.com/,Center,21/26
Central Jersey News,https://centraljersey.com/,Center,15/24
Central Maine Morning Sentinel,https://www.centralmaine.com/,Center,22/19
Central News Channel Nebraska,https://central.newschannelnebraska.com/,Center,18/17
Centre View,http://www.centre-view.com,Lean Left,705/762
Cerritos Community News,https://www.loscerritosnews.net/,Lean Left,21/19
Chadwick Moore,https://spectatorworld.com/author/chadwick-moore/,Right,25/26
Chalkbeat,https://www.chalkbeat.org/,Center,35/59
Chalkbeat Chicago,https://chicago.chalkbeat.org/,Center,18/16
Chan Lowe (cartoonist),,Left,293/291
Channel 3000,https://www.channel3000.com/,Center,17/17
Charisma Magazine,https://www.charismamag.com/,Right,24/25
Charles Blow,https://twitter.com/CharlesMBlow,Lean Left,421/520
Charles C. W. Cooke,https://www.nationalreview.com/author/charles-c-w-cooke/,Right,30/35
Charles Fried,,Center,20/32
Charles Krauthammer,https://twitter.com/krauthammer,Lean Right,966/806
Charles Lane,,Center,114/158
Charleston City Paper,https://charlestoncitypaper.com/,Center,19/21
Charlie Kirk,https://twitter.com/charliekirk11,Right,523/195
Chattanooga Times Free Press,https://www.timesfreepress.com/,Center,30/29
Chicago Booth Initiative on Global Markets,http://www.igmchicago.org/,Mixed,306/313
Chicago Crusader,,Left,139/77
Chicago Defender,https://chicagodefender.com/,Left,193/98
Chicago Sun-Times,http://chicago.suntimes.com/,Lean Left,1031/1044
Chicago Tribune,http://www.chicagotribune.com/,Center,2264/4260
Children’s Defense Fund,http://www.childrensdefense.org,Left,465/468
Chip Bok (cartoonist),,Right,273/224
Chris Britt (cartoonist),,Center,258/184
Chris Cillizza,,Lean Left,67/65
Chris Ruddy,http://en.wikipedia.org/wiki/Christopher_Ruddy,Right,250/339
Chris Wallace,,Center,274/580
Christian Coalition of America,https://cc.org/,Lean Right,26/62
Christian Headlines,https://www.christianheadlines.com/,Center,66/54
Christian News Network,https://christiannews.net/,Right,38/52
Christian News Now,https://christiannewsnow.com/,Lean Right,28/53
Christian Science Monitor,http://www.csmonitor.com/,Center,17468/21378
Christiane Amanpour,https://twitter.com/camanpour,Lean Left,758/954
Christianity Today,http://www.christianitytoday.com/,Lean Right,310/484
Christopher Barnard,https://twitter.com/chrisbarnarddl,Lean Right,37/42
Christopher Buskirk,,Lean Right,235/188
CHS Capitol Hill Seattle News,https://www.capitolhillseattle.com/,Center,18/14
Chuck Asay (cartoonist),,Right,283/230
Church Militant,https://www.churchmilitant.com/,Right,38/24
ChurchLeaders.com,https://churchleaders.com/,Center,23/41
Cincinnati Enquirer,https://www.cincinnati.com/,Center,33/43
Citizen Tribune,https://www.citizentribune.com/,Center,10/12
City Journal,http://www.city-journal.org,Right,787/572
Civic Genius,https://www.ourcivicgenius.org/,Center,15/17
Civic Health Project,https://www.civichealthproject.org/,Center,24/19
Civil Squared,https://civilsquared.org/,Lean Left,17/20
CivilPolitics.org,http://www.civilpolitics.org/,Center,328/298
Claire-Laure Belt,,Center,55/60
Clara Nevins,,Lean Left,90/73
Clare Ashcraft,https://www.linkedin.com/in/clare-ashcraft-32218120b/,Center,53/60
Clarksdale Press Register,https://www.pressregister.com/,Center,26/23
Clay Bennett (cartoonist),,Left,244/181
Cleveland Plain Dealer,http://cleveland.com/,Center,25/34
Click 2 Houston KPRC,https://www.click2houston.com/,Center,17/24
Click Orlando,https://www.clickorlando.com/,Center,12/12
Clinton Herald,https://www.clintonherald.com/,Center,15/17
CN2 News,https://www.cn2.com/,Center,18/15
CNBC,http://cnbc.com,Center,4085/7696
CNET,http://www.cnet.com,Center,638/586
CNN (Online News),http://www.cnn.com,Lean Left,64197/54787
CNN (Opinion),https://www.cnn.com/opinions,Left,38935/8899
CNN Business,https://www.cnn.com/business,Lean Left,833/555
CNSNews.com,http://cnsnews.com/,Right,1135/907
Cody Enterprise,https://www.codyenterprise.com/,Center,20/14
Coffee Party USA,https://coffeepartyusa.com/,Center,121/125
CoinDesk,https://www.coindesk.com/,Center,38/38
Colorado Newsline,https://coloradonewsline.com/,Center,11/13
Colorado Politics,https://www.coloradopolitics.com/,Center,14/19
Colorado Springs Gazette,http://gazette.com/,Center,69/108
Colorado Times Recorder,https://coloradotimesrecorder.com/,Lean Left,10/11
Columbia Basin Herald,https://columbiabasinherald.com/,Center,14/16
Columbia Daily Tribune,https://www.columbiatribune.com/,Center,18/23
Columbia Journalism Review,http://www.cjr.org/index.php,Center,357/649
Columbia Missourian,https://www.columbiamissourian.com/news/,Center,102/87
Columbia Missourian,https://www.columbiamissourian.com/,Center,16/17
Commentary Magazine,https://www.commentary.org/,Right,368/377
Commerce City Sentinel Express,https://commercecitysentinel.com/,Center,15/21
Committee to Protect Journalists,,Center,76/111
Common Dreams,,Left,292/151
Common Ground Committee,https://commongroundcommittee.org/,Center,64/50
Complex,,Center,45/40
Concord Monitor,http://www.concordmonitor.com/,Center,111/143
Connecticut Post,https://www.ctpost.com/,Center,25/27
Connecticut Public,https://www.ctpublic.org/,Center,18/28
Conor Friedersdorf,,Center,136/172
Conservative HQ,http://www.conservativehq.com/,Right,1028/484
ContraPoints (Natalie Wynn),https://www.youtube.com/user/contrapoints,Left,35/25
Cook Report,http://cookpolitical.com,Center,1052/745
Copperas Cove Leader Press,https://www.coveleaderpress.com/,Center,9/12
Corinna Cohn,,Center,35/27
Corsicana Daily Sun,https://www.corsicanadailysun.com/,Center,12/11
Corvallis Gazette-Times,https://www.gazettetimes.com/,Center,19/17
Council on Foreign Relations,http://www.cfr.org,Left,379/455
Countable,https://www.countable.us,Center,180/172
Counter Currents,http://www.countercurrents.org/,Lean Left,419/352
Counterpointing,http://www.counterpointing.com/,Mixed,476/445
Courier-Post,https://www.courierpostonline.com/,Center,14/16
Covering Katy News,https://coveringkaty.com/,Center,9/11
Cowboy State Daily,https://cowboystatedaily.com/,Lean Right,19/16
Cowboy State Daily,https://cowboystatedaily.com/,Lean Right,25/23
Crossroads Today,https://www.crossroadstoday.com/,Center,11/12
CrowdPAC,https://www.crowdpac.com/,Center,513/543
Crunchbase News,https://news.crunchbase.com/,Center,17/19
CT Mirror,https://ctmirror.org/,Center,15/17
CT News Junkie,https://ctnewsjunkie.com/,Lean Left,12/9
CU Independent,http://cuindependent.com/,Center,463/524
Culture Map Dallas,https://dallas.culturemap.com/,Center,10/9
Cumberland Times-News,https://www.times-news.com/,Center,12/13
Current Affairs,https://www.currentaffairs.org,Left,592/288
Current Publishing,https://youarecurrent.com/,Center,5/8
Daily Beast,http://www.thedailybeast.com/,Left,22758/6927
Daily Breeze,https://www.dailybreeze.com/,Center,84/101
Daily Cardinal,http://www.dailycardinal.com/,Center,521/562
Daily Chela,,Left,104/103
Daily Citizen,https://dailycitizen.focusonthefamily.com/,Right,171/112
Daily Corinthian,https://www.dailycorinthian.com/,Center,13/15
Daily Hampshire Gazette,https://home.gazettenet.com/,Lean Left,10/10
Daily Herald Extra,https://www.heraldextra.com/,Center,12/9
Daily Journal,https://www.djournal.com/,Center,16/20
Daily Journal Indiana,https://dailyjournal.net/,Center,13/11
Daily Kos,http://www.dailykos.com,Left,5939/2183
Daily Mail,http://dailymail.co.uk,Right,14863/7906
Daily Memphian,dailymemphian.com,Center,18/13
Daily Montanan,https://dailymontanan.com/,Center,9/13
Daily News-Record,https://www.dnronline.com/,Center,12/15
Daily Norseman,https://www.dailynorseman.com/,Center,13/22
Daily Northwestern,http://dailynorthwestern.com/,Lean Left,462/486
Daily Press,http://www.dailypress.com,Lean Right,478/589
Daily Progress,http://www.dailyprogress.com,Center,527/554
Daily Targum,http://www.dailytargum.com/,Lean Left,339/511
DailyTrib.com,https://www.dailytrib.com/,Center,26/26
Dakota Free Press,https://dakotafreepress.com/,Center,10/9
Dakota News Now,https://www.dakotanewsnow.com/,Center,7/10
Damon Linker,http://theweek.com/authors/damon-linker,Lean Left,408/414
Dan Lucas,,Right,151/124
Dan McLaughlin,https://www.nationalreview.com/author/dan-mclaughlin/,Right,62/45
Dan Meuser,,Right,53/51
Dan Schnur,,Center,134/167
Dan Wasserman (cartoonist),,Left,153/83
Dana Milbank,https://www.washingtonpost.com/people/dana-milbank/,Left,312/471
Dana Summers (cartoonist),,Lean Right,172/196
Darvio Morrow,https://twitter.com/DTheKingpin,Lean Right,19/19
Daryl Davis,https://www.daryldavis.com/,Center,15/14
Data for Progress,,Left,95/63
Dave Yost,,Lean Right,38/36
Dave Zirin,https://www.thenation.com/authors/dave-zirin/,Lean Left,11/12
David Axelrod,,Lean Left,46/43
David Brooks,http://topics.nytimes.com/top/opinion/editorialsandoped/oped/columnists/davidbrooks/index.html,Lean Right,645/826
David Byler,https://www.washingtonpost.com/people/david-byler/?itid=ai_top_bylerd,Center,12/12
David French,,Lean Right,137/149
David Frum,https://davidfrum.com/,Lean Right,85/153
David Harsanyi,https://en.wikipedia.org/wiki/David_Harsanyi,Right,119/101
David Holmes,,Lean Left,144/104
David Ignatius,,Center,255/371
David Leonhardt,,Lean Left,356/260
David Marcus,,Right,43/45
David Meyers,https://thefulcrum.us/Elections/Redistricting/2022-redistricting-2657601562,Center,35/46
David Nevins,https://thefulcrum.us/u/davidnevins,Center,25/25
David Petraeus,https://en.wikipedia.org/wiki/David_Petraeus,Center,73/80
David Rothkopf,,Lean Left,26/27
Dayton Daily News,https://twitter.com/daytondailynews,Center,39/41
DCist,https://dcist.com/,Center,15/21
Deadline,,Center,55/88
Debilyn Molineaux,,Lean Left,62/81
Debra Saunders,,Right,219/188
Defense One,,Center,448/445
Delaware Business Times,https://delawarebusinesstimes.com/,Center,6/14
Delaware Live News,https://delawarelive.com/,Center,5/16
Delaware Online,https://www.delawareonline.com/,Center,10/18
Delaware Public Media,https://www.delawarepublic.org/,Center,9/29
Delaware State News,https://baytobaynews.com/delaware/,Center,8/27
Delaware Today,https://delawaretoday.com/,Center,8/22
Delta Democrat Times,https://www.ddtonline.com/,Center,10/18
Democracy Now!,http://www.democracynow.org/,Left,15494/3680
Democrat and Chronicle,https://www.democratandchronicle.com/,Center,20/24
Democratic Party,https://democrats.org/,Lean Left,261/581
Dennis Prager,,Right,481/258
Denton Record-Chronicle,https://dentonrc.com/,Center,8/8
Derry News,http://www.derrynews.com/,Center,37/29
Des Moines Register,http://desmoinesregister.com/,Center,228/368
Deseret News,https://www.deseret.com/,Center,1572/2131
Desiring God,https://www.desiringgod.org/,Lean Right,77/91
DeSmog,https://www.desmog.com/,Lean Left,18/16
DetectFakeNews.com,https://faculty.lsu.edu/fakenews/index.php,Center,77/111
Detroit Free Press,http://www.freep.com/,Lean Left,383/452
Detroit Lakes Tribune,https://www.dl-online.com/,Center,15/12
Detroit News,http://www.detroitnews.com/,Center,262/427
Deutsche Welle,https://www.dw.com/,Center,473/323
Diamond and Silk,,Right,280/113
Diamond and Silk,https://www.diamondandsilkinc.com/,Right,18/13
Dick Locher (cartoonist),,Right,96/119
Dick Morris,,Lean Right,290/360
Diplomatic Courier,http://www.diplomaticourier.com/,Center,454/379
DiversityInc,https://www.diversityinc.com/,Lean Left,12/20
Divided We Fall,https://dividedwefall.org/,Mixed,54/44
